from https://www2.pvlighthouse.com.au/resources/optics/spectrum%20library/spectrum%20library.aspx
Wavelength 	Spectral irradiance 	Cumulative photon flux
nm      	W⋅m–2⋅nm–1 	cm–2⋅s–1
 
1085.00	0.585250	2.66334E+17
1086.00	0.559375	2.66639E+17
1087.00	0.566750	2.66949E+17
1088.00	0.586125	2.67270E+17
1089.00	0.576625	2.67586E+17
1090.00	0.561125	2.67894E+17
1091.00	0.582000	2.68213E+17
1092.00	0.572000	2.68527E+17
1093.00	0.521500	2.68814E+17
1094.00	0.532000	2.69107E+17
1095.00	0.519250	2.69393E+17
1096.00	0.513500	2.69676E+17
1097.00	0.558250	2.69984E+17
1098.00	0.511875	2.70267E+17
1099.00	0.502750	2.70545E+17
1100.00	0.488250	2.70815E+17
1101.00	0.491000	2.71087E+17
1102.00	0.471125	2.71348E+17
1103.00	0.465500	2.71607E+17
1104.00	0.470750	2.71868E+17
1105.00	0.486625	2.72139E+17
1106.00	0.421125	2.72373E+17
1107.00	0.462875	2.72631E+17
1108.00	0.422250	2.72866E+17
1109.00	0.420500	2.73101E+17
1110.00	0.451375	2.73353E+17
1111.00	0.359500	2.73554E+17
1112.00	0.383875	2.73769E+17
1113.00	0.289875	2.73931E+17
1114.00	0.288875	2.74093E+17
1115.00	0.249250	2.74233E+17
1116.00	0.191800	2.74340E+17
1117.00	0.111800	2.74403E+17
1118.00	0.186800	2.74508E+17
1119.00	0.129625	2.74581E+17
1120.00	0.143750	2.74662E+17
1121.00	0.166675	2.74756E+17
1122.00	0.100175	2.74813E+17
1123.00	0.119675	2.74880E+17
1124.00	0.115000	2.74945E+17
1125.00	0.127925	2.75018E+17
1126.00	7.61750E-2	2.75061E+17
1127.00	0.136538	2.75138E+17
1128.00	0.107050	2.75199E+17
1129.00	0.100663	2.75256E+17
1130.00	0.102925	2.75315E+17
1131.00	0.259175	2.75462E+17
1132.00	0.230750	2.75594E+17
1133.00	0.149075	2.75679E+17
1134.00	5.22500E-2	2.75708E+17
1135.00	3.27500E-2	2.75727E+17
1136.00	0.133800	2.75804E+17
1137.00	0.256625	2.75950E+17
1138.00	0.225375	2.76079E+17
1139.00	0.280750	2.76240E+17
1140.00	0.252625	2.76385E+17
1141.00	0.204625	2.76503E+17
1142.00	0.231000	2.76635E+17
1143.00	0.275375	2.76794E+17
1144.00	0.141875	2.76875E+17
1145.00	0.143250	2.76958E+17
1146.00	0.143375	2.77041E+17
1147.00	9.76250E-2	2.77097E+17
1148.00	0.237125	2.77234E+17
1149.00	0.212375	2.77357E+17
1150.00	0.143375	2.77440E+17
1151.00	0.198250	2.77554E+17
1152.00	0.240250	2.77694E+17
1153.00	0.226375	2.77825E+17
1154.00	0.175125	2.77927E+17
1155.00	0.286750	2.78093E+17
1156.00	0.288250	2.78261E+17
1157.00	0.309375	2.78441E+17
1158.00	0.314500	2.78624E+17
1159.00	0.326625	2.78815E+17
1160.00	0.299875	2.78990E+17
1161.00	0.339625	2.79188E+17
1162.00	0.363500	2.79400E+17
1163.00	0.444000	2.79660E+17
1164.00	0.407625	2.79899E+17
1165.00	0.387875	2.80126E+17
1166.00	0.380125	2.80349E+17
1167.00	0.405750	2.80588E+17
1168.00	0.417375	2.80833E+17
1169.00	0.425875	2.81083E+17
1170.00	0.451375	2.81349E+17
1171.00	0.449125	2.81614E+17
1172.00	0.453250	2.81881E+17
1173.00	0.440000	2.82140E+17
1174.00	0.365250	2.82356E+17
1175.00	0.439625	2.82616E+17
1176.00	0.471500	2.82895E+17
1177.00	0.457500	2.83166E+17
1178.00	0.388375	2.83396E+17
1179.00	0.461250	2.83670E+17
1180.00	0.446250	2.83935E+17
1181.00	0.435625	2.84193E+17
1182.00	0.352875	2.84403E+17
1183.00	0.420375	2.84653E+17
1184.00	0.419625	2.84903E+17
1185.00	0.416375	2.85152E+17
1186.00	0.464500	2.85429E+17
1187.00	0.441750	2.85693E+17
1188.00	0.359125	2.85907E+17
1189.00	0.410625	2.86153E+17
1190.00	0.453250	2.86424E+17
1191.00	0.450375	2.86694E+17
1192.00	0.466250	2.86974E+17
1193.00	0.457250	2.87248E+17
1194.00	0.463375	2.87527E+17
1195.00	0.446750	2.87795E+17
1196.00	0.437750	2.88058E+17
1197.00	0.464875	2.88338E+17
1198.00	0.429750	2.88597E+17
1199.00	0.383000	2.88828E+17
1200.00	0.435250	2.88960E+17
