from https://www2.pvlighthouse.com.au/resources/optics/spectrum%20library/spectrum%20library.aspx
Wavelength 	Spectral irradiance 	Cumulative photon flux
nm      	W⋅m–2⋅nm–1 	cm–2⋅s–1
 
479.000	1.59625	3.23449E+16
480.000	1.60750	3.27331E+16
481.000	1.61125	3.31230E+16
482.000	1.61625	3.35149E+16
483.000	1.59875	3.39034E+16
484.000	1.57250	3.42863E+16
485.000	1.52500	3.46585E+16
486.000	1.32500	3.49824E+16
487.000	1.41625	3.53294E+16
488.000	1.51375	3.57011E+16
489.000	1.48250	3.60658E+16
490.000	1.59125	3.64581E+16
491.000	1.55750	3.68428E+16
492.000	1.50375	3.72150E+16
493.000	1.57125	3.76047E+16
494.000	1.56625	3.79940E+16
495.000	1.61875	3.83971E+16
496.000	1.57375	3.87898E+16
497.000	1.58125	3.91852E+16
498.000	1.55500	3.95748E+16
499.000	1.54875	3.99636E+16
500.000	1.53500	4.03497E+16
501.000	1.49625	4.07269E+16
502.000	1.49875	4.11054E+16
503.000	1.53750	4.14945E+16
504.000	1.47750	4.18691E+16
505.000	1.55375	4.22639E+16
506.000	1.60375	4.26721E+16
507.000	1.55375	4.30684E+16
508.000	1.52375	4.34579E+16
509.000	1.56625	4.38590E+16
510.000	1.54875	4.42563E+16
511.000	1.57125	4.46603E+16
512.000	1.59375	4.50708E+16
513.000	1.52625	4.54647E+16
514.000	1.49125	4.58504E+16
515.000	1.52500	4.62455E+16
516.000	1.50375	4.66359E+16
517.000	1.31750	4.69785E+16
518.000	1.41125	4.73463E+16
519.000	1.41250	4.77151E+16
520.000	1.50500	4.81089E+16
521.000	1.53250	4.85106E+16
522.000	1.54500	4.89163E+16
523.000	1.49625	4.93100E+16
524.000	1.57250	4.97245E+16
525.000	1.56750	5.01386E+16
526.000	1.51125	5.05385E+16
527.000	1.38750	5.09064E+16
528.000	1.51500	5.13088E+16
529.000	1.58375	5.17303E+16
530.000	1.55750	5.21456E+16
531.000	1.60750	5.25750E+16
532.000	1.58000	5.29979E+16
